Temperature[C];Humidity[%];Pressure[hPa];Fire Alarm
10.239118352349639;31.73598553345388;937.375;0
45.86661767549796;83.93610608800482;939.14;1
6.586600464126864;34.940727345790634;939.666;0
48.03752852446334;79.88748241912798;938.697;1
7.554795010636241;5.063291139240505;936.673;0
11.43311931928061;36.9399236487844;939.605;0
-3.9779707986849715;20.966445649989947;936.842;1
16.86039644169406;34.19730761502913;937.56;0
5.467868304003094;34.80008036970062;939.653;0
11.702502417327398;36.960016073940125;939.649;0
22.88982401856507;39.75286317058469;936.893;1
41.22847456971573;78.68193690978501;938.709;1
10.410255849932316;37.31163351416516;937.415;0
11.75004061110037;20.03214788024914;931.132;0
10.80719976793657;36.668675909182234;939.652;0
5.103408818410365;33.062085593731155;937.484;0
9.484053374589049;42.515571629495675;939.597;0
15.82247921098433;35.784609202330714;937.441;0
48.11675884741828;79.71669680530441;938.719;0
-20.38736298588281;1.0146674703636724;936.687;0
9.275677625217565;38.39662447257384;937.381;0
17.510085089924583;36.196503918022906;937.443;0
5.687336298588285;33.92605987542696;937.4;0
-15.909265132469542;2.8229857343781397;936.672;0
4.934648230516341;34.16716897729556;937.439;1
10.80244594855927;77.9887482419128;938.748;1
39.31268536066524;77.6974080771549;938.908;1
5.019424676078131;35.54350010046212;939.614;1
26.229382131115837;82.56982117741613;939.05;0
42.07940823825177;85.21197508539281;939.605;1
15.79078708180236;38.38657825999598;937.335;0
15.798710114097855;38.456901748040984;937.331;1
48.52875652678398;77.24532851115129;938.729;1
24.03470218526397;84.7096644564999;939.14;1
37.46344962289693;76.84348000803696;938.744;1
-14.747748597950107;13.954189270644964;936.821;0
8.026215432218137;42.58589511754069;939.787;0
43.68778379423708;81.54510749447458;939.604;1
15.94607851479405;43.75125577657223;939.675;0
6.3306865209824;38.81856540084388;939.803;0
54.43933861922258;45.92123769338959;930.909;1
4.231082962676464;44.414305806710864;939.796;0
15.806633146393349;38.33634719710668;937.328;0
14.911330497002513;33.715089411291935;937.396;0
8.951625604331849;40.667068515169774;936.969;0
7.711671050087027;38.72814948764315;937.407;0
18.23900406111004;31.756077958609602;937.516;0
38.450659446915495;9.664456499899536;936.857;0
39.93622800232063;79.15410890094435;938.73;1
9.880204989363758;41.36025718304198;939.638;0
37.26220460259138;12.698412698412696;936.821;0
47.665146006575114;78.78239903556359;939.074;1
34.09299168439374;16.204540888085194;936.875;0
17.264471088764264;36.64858348402652;937.343;0
46.524229356023966;80.68113321277878;939.166;1
18.080543415200157;31.052843078159526;937.427;1
9.690844517501453;83.37351818364476;938.716;1
8.435043898665633;7.424151095037169;936.913;0
13.911443821311156;36.929877436206546;939.647;0
11.797578804873329;19.770946353224833;931.135;0
10.31597176561593;40.37572835041189;939.66;0
27.007423902533358;78.541289933695;939.646;1
25.73419261264746;13.361462728551336;936.758;0
15.988862889189715;38.065099457504516;937.375;0
11.630402823438406;17.5708257986739;936.877;0
38.72004254496228;1.918826602370906;936.689;0
8.263906401082966;44.40425959413301;939.611;0
47.33237865016437;79.88748241912798;939.087;1
23.824741829433382;36.22664255575647;936.903;0
20.367130535679753;78.55133614627286;939.679;1
36.66876948365886;83.13240908177619;938.784;1
46.54799845291045;83.21277878239903;938.711;1
16.044324115258167;37.150894112919424;937.363;0
7.219650744536839;31.715893108298168;937.401;0
39.4513384258364;80.09845288326301;938.919;1
4.460850899245795;45.3184649387181;939.848;0
6.901144846257981;44.163150492264414;939.743;0
17.890390640108297;33.152501506931884;937.491;0
48.93283117385418;67.05846895720313;931.1;1
18.389541674724423;30.429977898332325;937.399;0
9.911897118545738;41.75205947357845;939.648;0
-7.8721411719203225;31.464737793851715;937.407;0
-19.567329143299165;0.7836045810729348;936.715;1
32.05677238445175;5.264215390797669;936.698;0
16.530005994971955;42.515571629495675;939.716;0
8.107822664861729;41.330118545308416;939.641;0
-17.59053258557339;1.2557765722322685;936.707;0
11.55988783600851;36.87964637331726;939.624;0
4.696164958421971;40.506329113924046;939.644;0
22.322534906207704;85.87502511553144;939.603;1
19.300690388706247;52.993771348201726;937.037;0
14.068319860761942;45.79063692987744;939.781;0
23.523666602204603;37.100663050030136;936.935;0
17.99339005994973;32.68032951577255;937.424;0
53.11619222587507;48.12135824794052;930.883;1
36.67193869657706;83.38356439622264;938.787;0
46.59553664668343;82.79083785412901;938.805;1
-8.151824211951265;30.64094836246735;937.375;0
48.28314252562366;78.14948764315854;938.714;1
18.191465867337076;31.886678722121754;937.398;0
23.17267627151421;82.92143861764114;938.723;1
41.60402630052215;86.87964637331726;939.314;1
27.16033842583639;26.722925457102672;936.884;0
39.38636956101335;78.01888687964637;938.731;1
46.674766969638355;82.04741812336748;938.966;1
17.573469348288537;34.41832429174201;937.42;0
14.828138657899824;45.7002210166767;939.842;1
43.980935989170376;92.33473980309425;939.237;1
18.14392767356411;32.1880650994575;937.337;0
10.886430090891519;36.437613019891494;939.591;0
38.308837168826145;82.71046815350613;938.856;1
47.20561013343648;78.4207353827607;938.794;1
46.674766969638355;82.72051436608398;938.712;1
23.01817714175208;93.94213381555153;939.225;1
48.40991104235158;77.78782399035563;938.738;1
46.587613614387934;82.71046815350613;938.696;1
17.3516244440147;29.917621056861563;937.48;0
13.757736994778572;42.515571629495675;939.615;0
16.90476542254883;43.09825195901145;939.791;0
15.576865209824025;39.95378742214184;939.595;0
41.84171726938696;85.8649789029536;939.598;1
46.381614774705085;83.95619851316053;938.878;1
42.042169986462966;81.72593932087604;939.025;1
7.042174821117772;49.91963029937713;937.09;0
9.423046025913749;7.273457906369298;936.891;0
17.288240185650746;30.520393811533047;937.503;0
9.519707019918773;32.7406067912397;937.334;0
43.85416747244247;83.0520393811533;939.661;1
42.43277547863083;79.2344786015672;938.981;1
-8.055163217946236;34.43841671689773;937.382;0
16.659943724618063;47.07655213984328;939.793;0
-5.699645716495841;37.05043198714084;937.317;0
43.62439953587314;80.41993168575446;939.496;1
