Jour,Cours,var
440,81.3181819,54.0
441,81.40909099,54.0
442,80.98181826,54.0
443,80.36363644,54.0
444,80.8181819,54.0
445,81.6181819,54.0
446,82.05454554,55.0
447,82.20000008,55.0
448,83.39090917,56.0
449,83.7181819,56.0
450,82.77272736,55.0
451,82.10909099,55.0
452,82.6181819,55.0
453,81.32727281,54.0
454,81.70909099,54.0
455,81.98181826,55.0
456,81.59090917,54.0
457,81.8181819,55.0
458,80.86363644,54.0
459,81.16363644,54.0
460,81.40909099,54.0
461,81.6181819,54.0
462,81.22727281,54.0
463,81.77272735,55.0
464,80.99090917,54.0
465,81.47272735,54.0
466,82.30909099,55.0
467,80.58181826,54.0
468,78.60000008,52.0
469,78.00909099,52.0
470,77.56363644,52.0
471,77.67272735,52.0
472,78.44545462,52.0
473,76.77272735,51.0
474,77.70000008,52.0
475,77.77272735,52.0
476,77.80909099,52.0
477,78.10000008,52.0
478,78.7181819,52.0
479,78.50909099,52.0
480,78.77272735,53.0
481,78.96363644,53.0
482,79.00909099,53.0
483,79.27272735,53.0
484,79.54545463,53.0
485,80.29090917,54.0
486,80.95454554,54.0
487,80.66363644,54.0
488,80.58181826,54.0
489,80.28181826,54.0
490,80.3181819,54.0
491,80.26363644,54.0
492,80.58181826,54.0
493,81.8181819,55.0
494,81.38181826,54.0
495,81.22727281,54.0
496,80.69090917,54.0
497,80.67272735,54.0
498,81.10000008,54.0
499,80.68181826,54.0
500,80.82727281,32.0
501,80.23636372,32.0
502,80.50000008,32.0
503,82.22727281,33.0
504,81.62727281,33.0
505,81.63636372,33.0
506,80.15454553,32.0
507,81.40000008,33.0
508,79.04545462,32.0
509,78.96363644,32.0
510,79.12727281,32.0
511,79.47272735,32.0
512,78.5181819,31.0
513,77.73636371,31.0
514,78.22727281,31.0
515,78.30000008,31.0
516,77.6181819,31.0
517,78.04545462,31.0
518,77.37272735,31.0
519,75.90909099,30.0
520,75.61818189,30.0
521,76.77272735,31.0
522,74.43636371,30.0
523,74.38181826,30.0
524,76.07272735,30.0
525,74.73636371,30.0
526,76.60000008,31.0
527,76.19090917,30.0
528,76.95454553,31.0
529,77.40000008,31.0
530,78.22727281,31.0
531,78.24545462,31.0
532,77.72727281,31.0
533,79.37272735,32.0
534,79.33636372,32.0
535,78.70909099,31.0
536,78.76363644,32.0
537,79.45454553,32.0
538,80.3181819,32.0
539,79.18181826,32.0
540,80.12727281,32.0
541,80.25454553,32.0
542,80.26363644,32.0
543,80.60000008,32.0
544,79.58181826,32.0
545,80.48181826,32.0
546,81.37272735,33.0
547,81.16363644,32.0
548,80.99090917,32.0
549,82.64545463,33.0
550,82.77272736,33.0
551,82.80909099,33.0
552,82.85454554,33.0
553,83.22727281,33.0
554,82.97272736,33.0
555,84.17272736,34.0
556,83.26363645,33.0
557,84.38181827,34.0
558,83.76363645,34.0
559,83.92727281,34.0
560,82.93636372,33.0
561,82.89090917,33.0
562,82.3181819,33.0
563,81.44545463,33.0
564,79.83636372,32.0
565,80.6181819,32.0
566,83.13636372,33.0
567,84.4181819,34.0
568,84.30000008,34.0
569,84.70909099,34.0
570,84.30000008,34.0
571,85.04545463,34.0
572,85.12727281,34.0
573,84.2181819,34.0
574,85.12727281,34.0
575,83.47272736,33.0
576,81.02727281,32.0
577,81.15454554,32.0
578,82.07272735,33.0
579,83.88181827,34.0
580,82.89090917,33.0
581,83.59090917,33.0
582,83.26363645,33.0
583,84.54545463,34.0
584,84.79090918,34.0
585,86.03636372,34.0
586,86.44545463,35.0
587,87.27272736,35.0
588,87.60000009,35.0
589,89.75454554,36.0
590,90.409091,36.0
591,92.51818191,37.0
592,92.40000009,37.0
593,90.99090918,36.0
594,92.97272737,37.0
595,92.51818191,37.0
596,93.80000009,38.0
597,93.22727282,37.0
598,93.39090918,37.0
599,94.04545464,38.0
600,92.14545464,37.0
601,92.72727282,37.0
602,93.39090918,37.0
603,93.76363646,38.0
604,96.11818191,38.0
605,95.61818191,38.0
606,93.39090918,37.0
607,95.04545464,38.0
608,94.21818191,38.0
609,95.409091,38.0
610,96.31818191,39.0
611,95.29090919,38.0
612,96.31818191,39.0
613,96.65454555,39.0
614,96.73636373,39.0
615,97.51818192,39.0
616,96.94545464,39.0
617,96.23636373,38.0
618,97.22727282,39.0
619,97.10909101,39.0
620,97.22727282,39.0
621,97.68181828,39.0
622,97.72727283,39.0
623,99.5000001,40.0
624,99.59090919,40.0
625,99.70909101,40.0
626,101.07272737,40.0
627,100.90909101,40.0
628,100.99090919,40.0
629,100.29090919,40.0
630,100.90909101,40.0
631,99.95454555,40.0
632,100.82727283,40.0
633,99.13636374,40.0
634,99.17272737,40.0
635,99.87272737,40.0
636,99.87272737,40.0
637,98.63636374,39.0
638,99.00909101,40.0
639,99.17272737,40.0
640,100.04545465,40.0
641,99.59090919,40.0
642,101.40909101,41.0
643,101.23636374,40.0
644,100.86363646,40.0
645,101.11818192,40.0
646,100.86363646,40.0
647,100.08181828,40.0
648,99.17272737,40.0
649,100.37272737,40.0
650,102.27272738,41.0
651,101.69090919,41.0
652,99.09090919,40.0
653,98.68181828,39.0
654,100.04545465,40.0
655,98.71818192,39.0
656,95.7000001,38.0
657,97.43636373,39.0
658,97.72727283,39.0
659,95.82727282,38.0
660,96.11818191,38.0
661,96.98181828,39.0
662,99.59090919,40.0
663,97.4000001,39.0
664,97.14545464,39.0
665,96.11818191,38.0
666,98.26363646,39.0
667,95.61818191,38.0
668,96.28181828,39.0
669,97.89090919,39.0
670,97.77272737,39.0
671,98.26363646,39.0
672,98.47272737,39.0
673,98.1000001,39.0
674,97.35454555,39.0
675,98.92727283,40.0
676,99.25454555,40.0
677,97.06363646,39.0
678,97.56363646,39.0
679,96.36363646,39.0
680,95.90909101,38.0
681,94.91818191,38.0
682,93.96363646,38.0
683,93.22727282,37.0
684,93.22727282,37.0
685,95.86363646,38.0
686,96.40909101,39.0
687,93.509091,37.0
688,92.60000009,37.0
689,93.96363646,38.0
690,93.05454555,37.0
691,93.42727282,37.0
692,95.7000001,38.0
693,98.96363646,40.0
694,98.68181828,39.0
695,97.43636373,39.0
696,97.85454555,39.0
697,94.33636373,38.0
698,95.58181828,38.0
699,95.0000001,38.0
700,95.74545464,38.0
701,95.29090919,38.0
702,92.64545464,37.0
703,92.85454555,37.0
704,90.24545464,36.0
705,91.44545464,37.0
706,95.86363646,38.0
707,98.01818192,39.0
708,98.18181828,39.0
709,98.26363646,39.0
710,99.09090919,40.0
711,99.83636374,40.0
712,100.20909101,40.0
713,100.29090919,40.0
714,98.84545464,40.0
715,98.76363646,40.0
716,97.51818192,39.0
717,96.77272737,39.0
718,95.58181828,38.0
719,96.36363646,39.0
720,97.10909101,39.0
721,96.60909101,39.0
722,97.93636373,39.0
723,98.71818192,39.0
724,99.59090919,40.0
725,100.45454556,40.0
726,100.32727283,40.0
727,99.83636374,40.0
728,100.66363646,40.0
729,97.10909101,39.0
730,96.36363646,39.0
731,95.74545464,38.0
732,96.23636373,38.0
733,95.04545464,38.0
734,94.50000009,38.0
735,92.68181827,37.0
736,90.29090918,36.0
737,85.82727281,34.0
738,86.20000009,34.0
739,86.77272736,35.0
740,87.809091,35.0
741,88.63636373,35.0
742,88.309091,35.0
743,86.65454554,35.0
744,87.19090918,35.0
745,88.42727282,35.0
746,88.63636373,35.0
747,87.56363645,35.0
748,88.01818191,35.0
749,90.32727282,36.0
750,88.309091,35.0
751,87.93636372,35.0
752,86.98181827,35.0
753,86.609091,35.0
754,87.72727282,35.0
755,87.77272736,35.0
756,86.77272736,35.0
757,85.40909099,34.0
758,87.06363645,35.0
759,84.75454554,34.0
760,84.33636372,34.0
761,84.25454554,34.0
762,85.74545463,34.0
763,83.26363645,33.0
764,87.06363645,35.0
765,88.39090918,35.0
766,86.81818191,35.0
767,89.13636373,36.0
768,89.87272736,36.0
769,90.78181827,36.0
770,90.08181827,36.0
771,91.44545464,37.0
772,91.57272736,37.0
773,90.50000009,36.0
774,89.09090918,36.0
775,89.67272736,36.0
776,91.23636373,36.0
777,90.99090918,36.0
778,90.909091,36.0
779,90.58181827,36.0
780,90.45454555,36.0
781,94.59090919,38.0
782,95.24545464,38.0
783,96.2000001,38.0
784,97.06363646,39.0
785,98.63636374,39.0
786,98.13636373,39.0
787,96.60909101,39.0
788,98.84545464,40.0
789,99.83636374,40.0
790,99.83636374,40.0
791,100.61818192,40.0
792,101.11818192,40.0
793,100.86363646,40.0
794,100.7000001,40.0
795,101.28181828,41.0
796,100.12727283,40.0
797,98.01818192,39.0
798,100.24545465,40.0
799,99.59090919,40.0
800,96.52727282,39.0
801,95.66363646,38.0
802,96.03636373,38.0
803,95.5000001,38.0
804,94.59090919,38.0
805,95.99090919,38.0
806,95.86363646,38.0
807,95.04545464,38.0
808,93.55454555,37.0
809,90.61818191,36.0
810,89.25454554,36.0
811,87.51818191,35.0
812,88.10000009,35.0
813,88.39090918,35.0
814,88.13636372,35.0
815,86.57272736,35.0
816,86.3181819,35.0
817,85.12727281,34.0
818,85.08181827,34.0
819,86.52727281,35.0
820,88.26363645,35.0
821,86.77272736,35.0
822,86.49090918,35.0
823,84.9181819,34.0
824,85.53636372,34.0
825,86.52727281,35.0
826,86.23636372,34.0
827,86.20000009,34.0
828,87.02727281,35.0
829,86.20000009,34.0
830,85.00000009,34.0
831,84.04545463,34.0
832,83.0181819,33.0
833,79.67272735,32.0
834,79.84545463,32.0
835,78.17272735,31.0
836,77.66363644,31.0
837,80.94545463,32.0
838,79.44545462,32.0
839,80.12727281,32.0
840,77.95454553,31.0
841,78.79090917,32.0
842,76.41818189,31.0
843,76.37272735,31.0
844,79.22727281,32.0
845,80.23636372,32.0
846,77.6272728,31.0
847,78.45454553,31.0
848,78.32727281,31.0
849,79.36363644,32.0
850,79.20000008,32.0
851,78.09090917,31.0
852,77.6181819,31.0
853,79.13636372,32.0
854,79.00000008,32.0
855,79.20909099,32.0
856,76.34545462,31.0
857,77.90000008,31.0
858,77.33636371,31.0
859,77.46363644,31.0
860,78.82727281,32.0
861,80.1181819,32.0
862,75.9272728,30.0
863,77.93636371,31.0
864,77.7181819,31.0
865,79.34545462,32.0
866,79.27272735,32.0
867,77.99090917,31.0
868,77.70909099,31.0
869,78.38181826,31.0
870,78.50909099,31.0
871,79.46363644,32.0
872,80.95454554,32.0
873,80.06363644,32.0
874,80.45454554,32.0
875,80.44545463,32.0
876,81.04545463,32.0
877,81.45454554,33.0
878,82.18181826,33.0
879,81.8181819,33.0
880,82.50000008,33.0
881,81.25454554,33.0
882,81.42727281,33.0
883,82.0181819,33.0
884,80.48181826,32.0
885,80.62727281,32.0
886,80.85454554,32.0
887,81.92727281,33.0
888,81.8181819,33.0
889,81.40909099,33.0
890,82.15454554,33.0
891,83.05454554,33.0
892,81.06363644,32.0
893,79.75454553,32.0
894,78.88181826,32.0
895,78.14545462,31.0
896,78.60909099,31.0
897,77.28181826,31.0
898,77.88181826,31.0
899,79.29090917,32.0
900,81.8181819,33.0
901,83.47272736,33.0
902,82.97272736,33.0
903,84.75454554,34.0
904,86.52727281,35.0
905,87.77272736,35.0
906,87.19090918,35.0
907,86.609091,35.0
908,83.92727281,34.0
909,82.19090917,33.0
910,82.40909099,33.0
911,82.30000008,33.0
912,82.28181826,33.0
913,81.8181819,33.0
914,80.17272735,32.0
915,78.77272735,32.0
916,78.34545462,31.0
917,79.30909099,32.0
918,79.3181819,32.0
919,79.0181819,32.0
920,78.67272735,31.0
921,77.85454553,31.0
922,79.37272735,32.0
923,79.83636372,32.0
924,78.85454553,32.0
925,79.49090917,32.0
926,79.93636372,32.0
927,78.50909099,31.0
928,77.68181826,31.0
929,80.50000008,32.0
930,80.13636372,32.0
931,80.99090917,32.0
932,80.72727281,32.0
933,81.47272735,33.0
934,79.70909099,32.0
935,80.00000008,32.0
936,80.25454553,32.0
937,78.68181826,31.0
938,78.95454553,32.0
939,78.58181826,31.0
940,77.90000008,31.0
941,77.60909099,31.0
942,76.35454553,31.0
943,75.61818189,30.0
944,75.20909098,30.0
945,74.80909098,30.0
946,75.98181826,30.0
947,77.38181826,31.0
948,77.40000008,31.0
949,78.3181819,31.0
950,78.50909099,31.0
951,74.38181826,30.0
952,74.70909098,30.0
953,74.50909098,30.0
954,75.23636371,30.0
955,76.48181826,31.0
956,78.17272735,31.0
957,78.67272735,31.0
958,77.65454553,31.0
959,76.03636371,30.0
960,74.31818189,30.0
961,74.07272735,30.0
962,74.78181826,30.0
963,76.29090917,31.0
964,76.89090917,31.0
965,77.75454553,31.0
966,78.10000008,31.0
967,79.25454553,32.0
968,78.97272735,32.0
969,78.83636372,32.0
970,78.38181826,31.0
971,78.95454553,32.0
972,79.04545462,32.0
973,79.56363644,32.0
974,79.73636372,32.0
975,79.23636372,32.0
976,76.86363644,31.0
977,76.93636371,31.0
978,76.10909099,30.0
979,76.58181826,31.0
980,76.13636371,30.0
981,77.2272728,31.0
982,77.30909099,31.0
983,78.8181819,32.0
984,79.55454553,32.0
985,80.19090917,32.0
986,80.0181819,32.0
987,80.66363644,32.0
988,81.89090917,33.0
989,81.80000008,33.0
990,81.80909099,33.0
991,81.28181826,33.0
992,80.73636372,32.0
993,80.44545463,32.0
994,80.76363644,32.0
995,80.22727281,32.0
996,81.46363645,33.0
997,81.40909099,33.0
998,81.40909099,33.0
999,81.5181819,33.0
1000,81.29090917,23.0
1001,81.77272735,23.0
1002,81.72727281,23.0
1003,81.95454554,23.0
1004,81.44545463,23.0
1005,80.24545463,23.0
1006,77.68181826,22.0
1007,78.53636371,22.0
1008,79.50000008,23.0
1009,80.58181826,23.0
1010,80.16363644,23.0
1011,79.59090917,23.0
1012,79.76363644,23.0
1013,79.76363644,23.0
1014,79.27272735,23.0
1015,80.3181819,23.0
1016,79.00000008,23.0
1017,78.26363644,22.0
1018,77.90909099,22.0
1019,80.08181826,23.0
1020,78.10000008,22.0
1021,78.92727281,23.0
1022,79.73636372,23.0
1023,79.75454553,23.0
1024,78.10000008,22.0
1025,77.9181819,22.0
1026,75.20909098,21.0
1027,76.94545462,22.0
1028,76.99090917,22.0
1029,76.06363644,22.0
1030,76.56363644,22.0
1031,76.95454553,22.0
1032,76.57272735,22.0
1033,76.87272735,22.0
1034,76.73636371,22.0
1035,77.13636371,22.0
1036,77.2181819,22.0
1037,77.5181819,22.0
1038,77.39090917,22.0
1039,75.94545462,22.0
1040,76.58181826,22.0
1041,76.90000008,22.0
1042,77.00909099,22.0
1043,75.63636371,22.0
1044,75.60909098,22.0
1045,74.87272735,21.0
1046,76.15454553,22.0
1047,76.4272728,22.0
1048,74.8272728,21.0
1049,77.47272735,22.0
1050,78.86363644,23.0
1051,79.06363644,23.0
1052,79.05454553,23.0
1053,77.85454553,22.0
1054,78.5181819,22.0
1055,78.00000008,22.0
1056,78.40909099,22.0
1057,78.0181819,22.0
1058,78.00000008,22.0
1059,78.24545462,22.0
1060,78.22727281,22.0
1061,77.95454553,22.0
1062,79.0181819,23.0
1063,79.75454553,23.0
1064,78.86363644,23.0
1065,78.67272735,22.0
1066,79.88181826,23.0
1067,81.58181826,23.0
1068,83.84545463,24.0
1069,85.08181827,24.0
1070,85.909091,25.0
1071,85.6181819,24.0
1072,85.53636372,24.0
1073,85.12727281,24.0
1074,84.78181827,24.0
1075,84.87272736,24.0
1076,85.6181819,24.0
1077,85.82727281,25.0
1078,85.57272736,24.0
1079,84.38181827,24.0
1080,83.59090917,24.0
1081,82.97272736,24.0
1082,82.69090917,24.0
1083,83.05454554,24.0
1084,83.26363645,24.0
1085,82.58181826,24.0
1086,83.03636372,24.0
1087,82.85454554,24.0
1088,84.00909099,24.0
1089,83.96363645,24.0
1090,83.63636372,24.0
1091,83.80000008,24.0
1092,87.35454554,25.0
1093,86.57272736,25.0
1094,87.14545463,25.0
1095,86.34545463,25.0
1096,86.409091,25.0
1097,85.20909099,24.0
1098,84.70909099,24.0
1099,84.79090918,24.0
1100,85.00000009,24.0
1101,84.9181819,24.0
1102,85.57272736,24.0
1103,84.9181819,24.0
1104,84.95454554,24.0
1105,85.29090918,24.0
1106,84.17272736,24.0
1107,84.50000008,24.0
1108,84.75454554,24.0
1109,84.87272736,24.0
1110,85.53636372,24.0
1111,85.50000009,24.0
1112,86.36363645,25.0
1113,86.49090918,25.0
1114,86.94545463,25.0
1115,87.51818191,25.0
1116,87.06363645,25.0
1117,87.40000009,25.0
1118,87.89090918,25.0
1119,87.14545463,25.0
1120,87.809091,25.0
1121,87.97272736,25.0
1122,88.42727282,25.0
1123,88.309091,25.0
1124,88.68181827,25.0
1125,88.47272736,25.0
1126,88.42727282,25.0
1127,88.309091,25.0
1128,88.92727282,25.0
1129,90.08181827,26.0
1130,89.25454554,26.0
1131,88.63636373,25.0
1132,88.80000009,25.0
1133,88.84545463,25.0
1134,88.10000009,25.0
1135,87.31818191,25.0
1136,88.01818191,25.0
1137,90.08181827,26.0
1138,91.52727282,26.0
1139,91.85454555,26.0
1140,92.109091,26.0
1141,91.32727282,26.0
1142,92.14545464,26.0
1143,92.68181827,26.0
1144,93.59090918,27.0
1145,93.71818191,27.0
1146,95.209091,27.0
1147,94.12727282,27.0
1148,94.30000009,27.0
1149,94.30000009,27.0
1150,94.04545464,27.0
1151,92.89090918,27.0
